ID	Label	Bipartito
1	Elephas maximus	0
2	Q	1
3	Equus przewalskii	0
4	B	1
5	Z	1
6	Panthera pardus	0
7	Panthera uncia	0
8	Grus americana	0
9	S	1
10	Pongo pygmaeus	0
11	Lophura swinhoii	0
12	P	1
13	Syrmaticus humiae	0
14	Anodorhynchus leari	0
15	Leucopsar rothschildi	0
16	Tapirus indicus	0
17	Varanus bengalensis	0
18	Ailurus fulgens	0
19	Caiman crocodilus	0
20	Branta ruficollis	0
21	Dendrocygna arborea	0
22	Boa constrictor	0
23	T	1
24	Eunectes notaeus	0
25	Probosciger aterrimus	0
26	Ciconia nigra	0
27	Falco biarmicus	0
28	Polihierax semitorquatus	0
29	Leopardus pardalis	0
30	Leopardus wiedii	0
31	Panthera tigris	0
32	Heloderma horridum	0
33	Pan troglodytes	0
34	Polyplectron bicalcaratum	0
35	Eunymphicus cornutus	0
36	Prosopeia personata	0
37	Tanygnathus lucionensis	0
38	Python bivittatus	0
39	Python curtus	0
40	Python regius	0
41	Python reticulatus	0
42	Python sebae	0
43	Diceros bicornis	0
44	Chelonoidis carbonarius	0
45	Indotestudo elongata	0
46	Malacochersus tornieri	0
47	Stigmochelys pardalis	0
48	Testudo hermanni	0
49	Varanus exanthematicus	0
50	Varanus niloticus	0
51	Varanus rudicollis	0
52	Varanus salvator	0
